"459720414,2025-10-13T07:02:23Z,1404/07/21 10:32,آرمان سعیدی,arman5559,retwit,#فافق افزایش سرمایه از سود انباشته در راه...."
"459804920,2025-10-18T09:21:47Z,1404/07/26 12:51,قباد,mehgho,twit,شاخص کل، دو و نیم درصد، رشد کرد ولی قیمت سهم ها کمتر از یک و نیم درصد، رشد کردند !!!\n\nتا حجم مبنا و دامنه نوسان درست نشه، هیچ فایده ای نداره ."
"459804903,2025-10-18T09:21:35Z,1404/07/26 12:51,کیایی,13571123ak,twit,#شلعاب چه جوری که حق تقدم ها مون برده اند در حراج کسی 1 ریال هم نمی خرد!!! امروز هم  که خریداری نداشت!"
"459804897,2025-10-18T09:21:20Z,1404/07/26 12:51,Mohammad,mhaghanifard,twit,#وساپا \nوساپا تو اردیبهشت با خبر واگذاری تا ۶۸۰ بالا رفت و بعدا با خبر لغو واگذاری تا ۳۶۰ آوردنش پایین هر چند که شنیدها میگه که این فروش زمین پلاسکوکار همون مرحله قبل انجام شده بود اما کثافتکاری موجود باعث شد افشا نکنن و سهم رو کشیدن پایین و حسابی خریدن و دیدن گندش درآمده یه باج هم به ساز..... دادن و جمع کردن داستان رو .\nحالا اون جای خودش اما از لحاظ اوضاع سهم الان زمین رو با اون سود فروختن و واگذاری سهام توددلی هم قطعیه و در حال ارزش‌گذاری مجدد هست پس قیمت باید حداقل بالای ۶۸۰ اردیبهشت برسه تازه میشه خبر واگذاری سایپا .\nمفت ندید بره حداقل بزارید به ۶۸۰ برسه هنوز من جند تا از دوستان دارن سربسر ۶۰۰ تومن دارن و تو ضررن باید تا ارزش‌گذاری و داستان واگذاری تودلی های صبر کرد و قیمت بالای ۱۲۰۰ تومن"
"459804891,2025-10-18T09:21:16Z,1404/07/26 12:51,همدان,3875221907mm,twit,#فسوژ سلام.اینجا کسی به سوالات پاسخ نمیدهد.چرا نمیدانم؟"
"459804873,2025-10-18T09:20:56Z,1404/07/26 12:50,امید,aomid394,quote,بیا روی صندوق ها نوسان بگیر بی خیال تمام بازارها میشی با کارمزد کم\nاکثر حقوقی های سهام روی صندق ها دارن نوسان می گیرن"
"459804853,2025-10-18T09:20:32Z,1404/07/26 12:50,بهروز,mfdonline237616,quote,از بی لیاقتی  ناظر و بازگردان سهم"
"459804797,2025-10-18T09:18:54Z,1404/07/26 12:48,قباد,mehgho,twit,دامنه و حجم مبنا را درست کنید،\nشاخص بالا میره ولی قیمت پایانی سهم ها خیلی کم بالا میره، \nاینطوری فایده نداره."
"459804787,2025-10-18T09:18:32Z,1404/07/26 12:48,Mahmod,m5765,twit,#ومعادن \nسهامدارن محترم این سهم بازیگران با هوشی داره گرفتار نوسانات نشوید \nسیگنال خرید یا فروش نمیدم ولی نگاهی کنید به پولهای ورودی به صنایع فلزی میبینید که این سهم ارزش نگهداری شدید داره\nبا احترام به فروشنده های اخیر"
"459804774,2025-10-18T09:17:59Z,1404/07/26 12:47,*ستاره سهیل*,majidkoosha123,quote,امروز آخر وقت قیمت به صفر تابلو میرسه"
