"455879701,2025-02-14T09:47:28Z,1403/11/26 13:17,صبا مرادی,sabam1234,twit,#وشمال بجای اینکه توی صف فروش برید. از سهم حمایت کنید و خرید بزنید. کمی فکر داشته باشید"
"455879685,2025-02-14T09:45:18Z,1403/11/26 13:15,صبا مرادی,sabam1234,twit,#وشمال شنبه هر نفر حداقل ۵ میلیون تومن خرید کنید"
"455879673,2025-02-14T09:45:12Z,1403/11/26 13:15,کامرانی,kamran1994,twit,#شاخص_بورس دعا کنیم خدا صاحب و مولای ما رو برسونه که اصلاح و رستگاریِ جهان فقط به دست اوست.. ظهور ایشان وقتیه که ما انسان ها اعتراف کنیم که اشتباه کردیم که فک میکردیم با فکر و خیال خودمون و با عناوین زیبایی مثل علم و دانش و سیاست و فلان اقتصاد میتونیم دنیا رو اداره کنیم\n\n(البته برا اصلاح تلاش باید بکنیم) \n\nدعا و نیایش به درگاه خدا رو دست کم نگیریم.و اولین دعا مون ظهور حضرت ولی عصر باشه\nاقامه نماز و معانی قرآن در اولویت تون باشه🌹"
"455879666,2025-02-14T09:43:46Z,1403/11/26 13:13,خدا هست,39reza,twit,#دانا با سلام\nپرنده عزیز ممنون از تصحیح نوشتار بنده .... خب بذار روز عیدیه منم به شما یک هدیه بدم\nدرست شعر اینست:\nیا مکن با فیلبانان دوستی\nیه بنا کن خانه ای از بهر فیل\n.... که بنده بشوخی نوشته‌ام \nیا مکن با فیل بانان مشورت\nیا بنا کن خانه ای فیل توش برد\nیک یک شدیم"
"455879656,2025-02-14T09:43:20Z,1403/11/26 13:13,قرقی بورس,reza3108112751,twit,#شاخص_بورس \n\n🔴ترامپ در دیدار با نخست وزیر هند:\n\n🔹من رئیس جمهور بودم و ایران بی پول و جهان و خاورمیانه در صلح و صفا بودند. من رفتم، ایران در دوران بایدن پولدار شد و جهان و خاورمیانه را به آتش کشید.حالا دوباره من برگشته ام و دوران بی پولی ایران شروع شده  و جهان و خاومیانه به صلح می"
"455879645,2025-02-14T09:42:30Z,1403/11/26 13:12,A7M2N,a7m2n,quote,#نوری #شپدیس #بوعلی \nقبلا هم گفته شد نرخ خوراک پتروشیمیها و... در ماههای بعد بالاتر از ۸۵۰۰ تومان خواهد شد\nهر طور حساب میکردم نرخ خوراک آذر باید ۹۰۰۰ تومان باشه. اما نرخ خوراک در گزارشات ماهانه ۷ هزار و ۶۶۰۰ تومان و ۷۵۰۰ تومان بود\n گفتم بالای ۸۵۰۰ به خودم شک کردم ولی الان میبینم که اشتباه حساب نکرده بودم. فقط دیر اعلام کردند.\nاینطوری نیست که اونها تولیداتشون را با دلار ۶۷ هزار بفروشن و خوراک با نرخ ۳۸ هزار تحویل بگیرن\nاون پست سم پاشی نبود. جالبه بعضیا میگفتن نقدی میخوای بخری؟ با لحن بد و توهین آمیز\nخب اشکال نداره. بیا تحویل بگیر چیزی که گفتم اتفاق افتاد\nنرخ آذر ۹۶۰۰ تومان\nو با بالا رفتن قیمت گاز جهانی بیشتر هم شد و در دی به ۱۲۶۰۰ تومان رسید"
"455879597,2025-02-14T09:36:39Z,1403/11/26 13:06,ایکان,aikan,twit,#فزر دوست عزیز چرا فکر میکنی اونس سقوط میکنه اگر دلیل داری لطفا بفرمایید اگر هم منظورت اما و اگر هاست که موضوع را بد برداشت کرده اید اونس با شرایطی که جهان در آن قرار دارد فعلا اصلاح ندارد در داخل هم که همه مردم در موضوع ارز باور کرده‌اند که دلار بالای صد هزار تومان است حال چطور انتظار داری سهمی که تولید کننده طلا است رشد نداشته باشد اگر دیر بجنبی پیشمان خواهی شد"
"455879591,2025-02-14T09:35:41Z,1403/11/26 13:05,حسین عزیز تر از جان,bah12345,twit,#شاخص_بورس آینده نگرانمان می‌کند\nگذشته ما را رها نمی‌کند\nو به همین خاطر، سر از حال در نمی‌آوریم ...‌‌\nما بورسی‌ها الان یه همچین وضعیتی داریم! چارت و تکنیکال رشدهای عجیبی برای سهام نشان میدهد، اما اوضاع سیاسی نگرانمون میکند!\nمن که شخصاً به چارت و تکنیکال اعتماد کرده‌ام یا مرا می‌برد در اوج یا تهش یه ذره از اینی که هستم بدبخت‌تر خواهم شد اینقدری در این ۴ سال بدبخت شدیم که چیزی برای از دست دادن باقی نمانده😁\nانشاالله که خیر خواهد بود...\nشاد باشید"
"455879568,2025-02-14T09:29:55Z,1403/11/26 12:59,هژیر,hsja99,twit,#شاخص_بورس \nلاکچری ترین دوره شیعه بر شما مبارک \nمفتیخر باشیم .\nهر دم از باغ بری می‌رسد"
"455879563,2025-02-14T09:29:28Z,1403/11/26 12:59,محسن شریفی,mohsen.1380,twit,#دزاگرس به توجه به محاسبات بنده دزاگرس امسال 750 تومان به ازای هر سهم سود میسازه"
