"459891817,2025-10-22T09:34:37Z,1404/07/30 13:04,منصور ترابی,mamsor,twit,#دی \nرفتار سهم شبیه چند سال قبل شده یادتون هست\nکی رو میگم?"
"459891806,2025-10-22T09:34:14Z,1404/07/30 13:04,امید,omid0057,quote,#شاخص_بورس \nاسمت منو کشته😁"
"459891789,2025-10-22T09:33:38Z,1404/07/30 13:03,Nader33,nader33,twit,#وآیند ضرر اندر ضرر\nhttps://www.hamshahrionline.ir/news/988201/%D8%A8%D8%A7%D9%86%DA%A9-%D8%AC%D9%86%D8%AC%D8%A7%D9%84%DB%8C-%D9%85%D9%86%D8%AD%D9%84-%D8%B4%D8%AF-%D8%AA%D8%A7%D8%A8%D9%84%D9%88%DB%8C-%DA%A9%D8%AF%D8%A7%D9%85-%D8%A8%D8%A7%D9%86%DA%A9-%D8%A8%D8%B1-%D8%B3%D8%B1%D8%AF%D8%B1-%D8%B4%D8%B9%D8%A8-%D8%A2%D9%86-%D9%86%D8%B5%D8%A8-%D8%AE%D9%88%D8%A7%D9%87%D8%AF"
"459891780,2025-10-22T09:33:19Z,1404/07/30 13:03,Ashkan,asksn,twit,#خصدرا ای سهم بی خاصیت!\nتا تمام سهم را از دست ملت خارج نکنن نمیره بالا!"
"459891756,2025-10-22T09:32:07Z,1404/07/30 13:02,منصور ترابی,mamsor,twit,#دی \nآقا مهندس رو ول کنید\nبرای سرگرمی وتنوع تایپیک خوبه🧛"
"459891749,2025-10-22T09:31:35Z,1404/07/30 13:01,افشار دوم,chelseafc,twit,#خگستر \nسقف سال ۹۹ خگستر ۱۲۰۰ بوده\nالان یک سوم اون قیمت هستیم\nدلار هم حداقل ۳ برابر شده از اون سال\nدرنتیجه برای رسیدن به سقف ۹۹ ، ابتدا باید ۹ برابر بشه"
"459891742,2025-10-22T09:31:27Z,1404/07/30 13:01,بورس 1127,burs1127,twit,#سیمرغ توی این سهام حقوقی های درصدی دقیقا در حال نوسانگیری هستند . بازیگر هم داره برای خشک تر کردن سهم به این روند کمک میکنه . اگه حجم سهام معامله شده بالا نره انتظار جا ماندن نوسانگیرها مقدور نیست چون تو اکثر سهام معامله شده مربوط به خود حقوقی های نوسانگیره"
"459891736,2025-10-22T09:31:04Z,1404/07/30 13:01,رضا حیدریان,reza13791387,twit,#غدشت سود چقدر تصویب شد؟؟"
"459891730,2025-10-22T09:30:58Z,1404/07/30 13:00,Ali,sheva7,twit,#فارس ۵۱ تومن تقسیم شد."
"459891715,2025-10-22T09:30:35Z,1404/07/30 13:00,منصور ترابی,mamsor,twit,#دی \nباید یک تقاضا از مدیر بانک بکنیم که مدیریت بانک رو تحویل مهندس بده انگار خیلی به امور بانکی وارده\nحالا چند مدتی سهم مثبت شده حرفی برای گفتن نداری نظریه پرداز امور بانکی شدی?🥱"
