"458709484,2025-08-03T09:50:09Z,1404/05/12 13:20,داریوش,mmohammadiii,quote,تو شفاف سازی گفتن ۱۰ روز کاری بسته میمونه !!! تقریبا میشه آخر هفته آینده"
"458709471,2025-08-03T09:49:46Z,1404/05/12 13:19,عدالت,etman,pull,#شاخص_بورس \nسهامداران گرامی ،سیاهی  ابر نشانه باران است ، قرمزی بورس نشانه بی ثباتی اقتصاد است , خط نشان کشیدن دو طرف نشانه چیست ؟"
"458709444,2025-08-03T09:47:32Z,1404/05/12 13:17,Mehran,mehran330,twit,#وبهمن \n🫶دوستان همدل بورسی لطفا از کمپین  خودتان در فارس من حمایت کنید:\nعنوان:(درخواست ایجاد صندوق خسارت برای سهامداران خرد بورس).\n💢 چون اجازه نشر لینک داده نشد باید عبارت  فارس من را در گوگل بزنید و بعد وارد آن شوید و در بالای جستجوگر فارس من  عنوان را  وارد نمایید و دکمه جستجور را بزنید.در آخر رو حمایت زده . برای بار اول از شما  تلفن برای ارسال کد تأیید میخواد و در آخر دوباره روی دکمه حمایت زده و تمام.  \nیکبار دیگه ثابت کنیم همه با هم و در کنار هم هستیم.(تا الان ۳۲۰نفر حمایت کردند).💪"
"458709441,2025-08-03T09:47:29Z,1404/05/12 13:17,Tahlil@,rauoof2025,twit,#فولاد \nکسانی که به مجمع میرن فقط اسرار کنند که حداکثر سود رو تقسیم کنند چون تنها چیزی که دست سهام دار خرد میرسه همین است."
"458709437,2025-08-03T09:47:23Z,1404/05/12 13:17,مسعود,masoudforozanfa,quote,جا داره بريزه ريزه ريزه😄😄😄😁😁"
"458709434,2025-08-03T09:47:15Z,1404/05/12 13:17,حسین,mahnour,twit,#دی \nسلام\nدوستان با این اتفاقاتی که افتاد از جمله تعلیق و بازگشایی و افشا الف و‌‌... الآن مجمع که قرار بود ۱۴ مرداد برگزار بشه لغو شده یا هنوز پابرجاست؟\nلطفا دوستانی که اطلاع دارند بفرمایند.\nممنون."
"458709431,2025-08-03T09:46:51Z,1404/05/12 13:16,آموزش صادرات و واردات,elyad123,twit,#فزر  خیلی وقته یه سود توپول نداده \n۵۳۴۰۰ باز میشه ؟"
"458709428,2025-08-03T09:46:26Z,1404/05/12 13:16,محسن,mohsen900,twit,#والبر \n🫶دوستان همدل بورسی لطفا از کمپین  خودتان در فارس من حمایت کنید:\nعنوان:(درخواست ایجاد صندوق خسارت برای سهامداران خرد بورس).\n💢 چون اجازه نشر لینک داده نشد باید عبارت  فارس من را در گوگل بزنید و بعد وارد آن شوید و در بالای جستجوگر فارس من  عنوان را  وارد نمایید و دکمه جستجور را بزنید.در آخر رو حمایت زده . برای بار اول از شما  تلفن برای ارسال کد تأیید میخواد و در آخر دوباره روی دکمه حمایت زده و تمام.  \nیکبار دیگه ثابت کنیم همه با هم و در کنار هم هستیم.(تا الان ۳۲۰نفر حمایت کردند).💪"
"458709425,2025-08-03T09:45:59Z,1404/05/12 13:15,محسن,mohsen900,twit,#واعتبار \n🫶دوستان همدل بورسی لطفا از کمپین  خودتان در فارس من حمایت کنید:\nعنوان:(درخواست ایجاد صندوق خسارت برای سهامداران خرد بورس).\n💢 چون اجازه نشر لینک داده نشد باید عبارت  فارس من را در گوگل بزنید و بعد وارد آن شوید و در بالای جستجوگر فارس من  عنوان را  وارد نمایید و دکمه جستجور را بزنید.در آخر رو حمایت زده . برای بار اول از شما  تلفن برای ارسال کد تأیید میخواد و در آخر دوباره روی دکمه حمایت زده و تمام.  \nیکبار دیگه ثابت کنیم همه با هم و در کنار هم هستیم.(تا الان ۳۲۰نفر حمایت کردند).💪"
"458709422,2025-08-03T09:45:40Z,1404/05/12 13:15,محسن,mohsen900,twit,#واتی \n🫶دوستان همدل بورسی لطفا از کمپین  خودتان در فارس من حمایت کنید:\nعنوان:(درخواست ایجاد صندوق خسارت برای سهامداران خرد بورس).\n💢 چون اجازه نشر لینک داده نشد باید عبارت  فارس من را در گوگل بزنید و بعد وارد آن شوید و در بالای جستجوگر فارس من  عنوان را  وارد نمایید و دکمه جستجور را بزنید.در آخر رو حمایت زده . برای بار اول از شما  تلفن برای ارسال کد تأیید میخواد و در آخر دوباره روی دکمه حمایت زده و تمام.  \nیکبار دیگه ثابت کنیم همه با هم و در کنار هم هستیم.(تا الان ۳۲۰نفر حمایت کردند).💪"
