"460815449,2025-12-12T09:28:07Z,1404/09/21 12:58,محمدرضا,familyfirst,quote,با فقط و فقط نیم درصد👌👍 حباب به استقبال شنبه میرویم. چه حبابی خالی کرد هفته گذشته😏.👍"
"460815440,2025-12-12T09:27:23Z,1404/09/21 12:57,قرقی بورس,reza3108112751,twit,#شاخص_بورس \n\nدونالد شیردل با توقیف نفتکش ونزوئلایی ، با یک تیر حداقل چهار نشان زد:\n\n📌تسلط نظامی در آمریکای لاتین که راهبرد اصلی آمریکا در سه سال آینده است را در معرض دید همگان قرار داد\n\n📌تسلط سیاسی آمریکا را به رخ چین کشید تا بداند دسترسی به نفت ارزان بدون باج دادن به آمریکا چندان هم آسان نیست \n\n📌تسلط اقتصادی بر ایران را تکرار کرد تا ما نیز بدانیم نفت تحریمی عینا مانند کالای قاچاق در هر نقطه ای در دنیا قابل توقیف است، حتی در نفتکشی در دریای کارائیب با پرچم جعلی گویان!\n\n📌 و البته کاسبی ۱۵۰ میلیون دلاری آمریکا از فروش نفت توقیفی ایران !\n\nاین ماجرا را دست کم نگیرید\n چون ادامه دار خواهد بود \nو ادامه آن به معنای سر به فلک کشیدن هزینه های ایران، کمبود بیشتر نفتکشها، کاهش بیشتر درآمد ارزی و افزایش بیشتر فشار بر ملت مقاوم ایران است!\n\nاثرات آنرا در یکی دو هفته آینده بیشتر لمس خواهیم کرد!/#حامد_پاک_طینت"
"460815437,2025-12-12T09:27:20Z,1404/09/21 12:57,بورس نیوز,saeedkhobpanah,twit,#پترول گویا \n\nدولت تصمیم دارد دلار بودجه را بر روی دلار با قیمت ۱۰۲ هزارتومان ببندد همچنین در لایحه بودجه ارز ترجیحی حذف خواهد شد.\n\n\n\nپرواز بزرگ بازار سهام با تایید این خبر"
"460815430,2025-12-12T09:26:44Z,1404/09/21 12:56,بورس نیوز,saeedkhobpanah,twit,#شلرد گویا \n\nدولت تصمیم دارد دلار بودجه را بر روی دلار با قیمت ۱۰۲ هزارتومان ببندد همچنین در لایحه بودجه ارز ترجیحی حذف خواهد شد.\n\n\n\nپرواز بزرگ بازار سهام با تایید این خبر"
"460815387,2025-12-12T09:23:12Z,1404/09/21 12:53,majid,yari1988,twit,دوستان بانک دی علاوه بر نیروگاه برق دماوند که ارزش واقعیش بالای ۱۵۰ همته ، دارایی های با ارزشی در املاک و مستغلات مثل مجتمع ایثار کردان ، مجتمع تجاری اداری مرودستی ،برج شایان ، پروژه چشم تهران ، پروژه شهریار و کلی املاک تجاری اداری ریز و درشت در خود بانک و شرکت‌های زیر مجموعه داره که ارزش دفتری این املاک نزدیک ۲۰ همته که با تورم الان حداقل باید بالای ۸۰ همت بفروش برسه\n  از طرف دیگه بانک دی در شرکت‌های گروه مالی و اقتصادی خودش سرمایه گذاری های خوبی کرده و میتونه با فروش دارايي های اون شرکتها نقدینگی خوبی جهت خروج از زیان و تسویه سپرده های با کارمزد بالا (سپرده های گران قیمت) که برای بانک کارمزد مالی سنگینی تحمیل میکنه رو به راحتی انجام بده\nسهم دی فعلا جای رشد داره با توجه به افزایش سرمایه که پیش رو داره و سود سازی هایی که داره اتفاق میفته ✌️✌️✌️"
"460815341,2025-12-12T09:20:17Z,1404/09/21 12:50,Spinoza,spinoza,twit,✨📈 خودرو روزانه، خطی و لگاریتمی، 1404/09/21: \n\nخودرو که از نمادهای مهم بورس ماست بعد از استارت بزرگ 5 مهر، از لحاظ پرایس اکشن کارهای بزرگی کرده: به روشنی صعودی شده، دو گپ مهم را پر کرده (باکس‌های نارنجی) و از یک تراکم مهم استاتیک (باکس قرمز) عبور کرده و احتمالا در حال ساخت یک 5موجی صعودی است که موج 5 آن به دلیل اطاله زمانی موج 4 می‌تواند مانند الگوهای الیوتی شاخص کل، گسترش یافته یعنی با اهداف قابل توجه از حدود 70 تا 94 باشد. \n\nبنابراین از لحاظ 1. «الگو» که گارد صعودی روشنی با الگوی بالقوه‌ی یک 5 موجی الیوتی دارد. \n\n2. «قیمت» نیز با پرایس اکشن قوی، مقاومتهای مهمی را به تازگی شکسته است. \n\n3. از دید شخصی بنده، به لحاظ «حجم» و تناسب حجم/قیمت نیز به شدت «تجمیعی» به نظر می‌رسد. \n\n4. مومنتومها (اسیلاتورها) کاملا با قیمت، متناسب و پایین هستند. \n\n5. «زمان» نیز برای موج 5 بالقوه در خودرو به تازگی آغاز شده است. \n\nپس به جهت همسویی هر 5 بُعد در تحلیل تکنیکال، خودرو تارگت‌های کوتاه‌مدتیِ ابتدا حدود 70 (سقف اردیبهشت 1404) و بعد 87 تا 94 (سقف تاریخی و تعدیل شده در 1399) را در دسترس دارد. \n\n✅ 👈🏼 غیر از اینها و خیلی ساده‌تر، خودرو می‌تواند اهداف بالا محقق کند چون همین اتفاق و بلکه بیشتر در شاخص کل هم افتاده است!\n\n#خودرو\n#خساپا\n#خگستر"
"460815336,2025-12-12T09:20:07Z,1404/09/21 12:50,mohsen1353,mhd13531055,twit,#دابور این سهم طلای دارویی هاست اینا دوتان دتماد هم همینطوره"
"460815316,2025-12-12T09:19:22Z,1404/09/21 12:49,mohsen1353,mhd13531055,twit,#شکلر خلاصه سطح تراکمی شکلر شکل گرفت و سهم گارد صعودی گرفت"
"460815305,2025-12-12T09:18:27Z,1404/09/21 12:48,Pouya,pouya11,twit,#مهرگان وهامو از زیرمجموعه های پارسان به سود حدود 1.2 همت رسید .اگه یک همت از آن تقسیم بشه به هر سهم پارسان 25 تومن سود مجمع میده . سود شپدیس ولی برای پارسان مهمتر است .انشاا...حداقل 4000 تومن تقسیم بشه . در این صورت  پارسان هم براحتی 1000 تومن تقسیم میشه."
"460815298,2025-12-12T09:18:14Z,1404/09/21 12:48,Reza,reza_bashiri,twit,#عیار شنبه مثبت ۵ میشه؟"
