"458576569,2025-07-25T09:53:48Z,1404/05/03 13:23,رضا احدی,haghighatyab1,quote,#شاخص_بورس اینم به اصطلاح لیدرهای بازار ، بازگشایی بشن بقیه رو هم منفی میکنن."
"458576559,2025-07-25T09:52:35Z,1404/05/03 13:22,mrzb,mrzb,twit,#نوری کی بسته میشه؟؟؟"
"458576539,2025-07-25T09:49:48Z,1404/05/03 13:19,داود زنجانی,al33541575masi,twit,#ثامید :احتمالا\" با توجه به جلسه شورای عالی مسکن که برگزار گردید ودر سطح کلان تصمیماتی مهمی گرفته شد  اگر امروز خبر منفی از مذاکره با اروپائیان مخابره نگردد از فردا گروه مسکن روزهای مثبتی پیش رو خواهد داشت."
"458576523,2025-07-25T09:49:03Z,1404/05/03 13:19,یزدان ابراهیمی,yazdanebrahimi,twit,#بنیرو \n\n//"
"458576507,2025-07-25T09:47:27Z,1404/05/03 13:17,وارث ۹۹,r1992,twit,#شاخص_بورس 🔴🔴🔴برق مصرف نکنید...ماینرها نیازمنده برق هستند.\n🔴آب مصرف نکنید...شرکتهای فولاد ضرر ده نیازمنده آب هستند..کشاورزیه غرق آبی ...نیازمنده آب برای کاشت هندوانه با نیتراته بالا هست...\n🔴برنج مصرف نکنید...آرسنیک داره...باید صادر کنیم.\n🔴اینترنت مصرف نکنید...دوشمن ردیابیمون میکنه..\n🔴گاز مصرف نکنید...باعث منفجر شدن خانه ها و اماکن دانشمندان میشه.\n🔴نان نخورید...کربو هیدرات داره ...چاق میشید...\n🔴🔴🔴فقط در تولید طلا و دلار سرمایه گذاری کنید...چون دولت اینو میخواد...\n🔴با کشیدن آبه دریای عمان...فاتحه دریا هم خوانده شد...\n🔴به این مسولین ...تپه ی سالم معرفی کنید...چیز تحویل بگیرید...هر چی ذهنتون یاری میکنه."
"458576500,2025-07-25T09:45:41Z,1404/05/03 13:15,محسن جلالی...,avina13944,twit,#دی_ سلام دوستان عزیز حدود دوماه پیش پیشنهاد خرید ارز رو دادم قیمت بیت دو ماه پیش ۷۰ k بود امروز حدود ۲۰ k تحلیل بنده حدود ۱۴۰ کا تا ۱۵۰ k بماند به یادگار"
"458576490,2025-07-25T09:45:00Z,1404/05/03 13:15,یزدان ابراهیمی,yazdanebrahimi,twit,#شهر \n\n//"
"458576445,2025-07-25T09:39:18Z,1404/05/03 13:09,یزدان ابراهیمی,yazdanebrahimi,twit,#وثنو \n\n//"
"458576414,2025-07-25T09:36:58Z,1404/05/03 13:06,گرگ باران دیده,artinmorad55147,twit,#شاخص_بورس \n🔹گروسی: ایران آماده مذاکرات فنی است"
"458576396,2025-07-25T09:35:28Z,1404/05/03 13:05,یزدان ابراهیمی,yazdanebrahimi,twit,#بمولد \n\n//"
