"455256872,2025-01-20T09:46:58Z,1403/11/01 13:16,امیر,90askvishahi,twit,#دی سلام \nتنها و تنها  ، کور سوی امید انتخاب آقای برات کریمی میتونه باشه ."
"455256868,2025-01-20T09:46:57Z,1403/11/01 13:16,بروکر,sososos,twit,#نوری ا‌حمق ها اونقد اعتراض نکردید الان باید بترسید سهامتون منفی باز نشه"
"455256855,2025-01-20T09:46:42Z,1403/11/01 13:16,جواد,zvbmjk,twit,#گدنا معتدل فروش میره اینم صف فروش"
"455256831,2025-01-20T09:46:14Z,1403/11/01 13:16,farid,farid9n,quote,دقیقا  همینه دیگه اکثر شرکتهای ما دولتی هستن بعد دولت هم خیلی بزرگه هییت رییسه هم افراد معمولی با حقوق معمولی میزارن وای از آن روزی که یکی هم به کم قانع نشه شروع میکنن به اسم حمایت میریزن تو آب از اون طرف به وقتش عزیزانشون خرید میکنن که میشه همون پول هوشمند...."
"455256821,2025-01-20T09:45:42Z,1403/11/01 13:15,Hosin,hossin12,quote,#شاخص_بورس تو دیگه عجب نادونی هستی ،نمی بینی انتظار لب تر کردن ترامپ اقتصاد ایران ترکونده ،فکر کن ارتش امریکا با ایران چه می کند ، ظرف دو روز از ایران ویرانه ای می سازن که برای اب خوردن گدایی کنی"
"455256815,2025-01-20T09:45:14Z,1403/11/01 13:15,مهدی آجورلو,mahdi1365,twit,#شتران https://www.khabaronline.ir/news/2012897/%D8%A8%D9%86%D8%B2%DB%8C%D9%86-%DB%8C%D9%88%D8%B1%D9%88-%DB%B5-%D8%AF%D8%B1-%D8%A2%DB%8C%D9%86%D8%AF%D9%87-%D9%86%D8%B2%D8%AF%DB%8C%DA%A9-%D8%AF%D8%B1-%D8%A7%D8%AE%D8%AA%DB%8C%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D9%85-%D9%82%D8%B1%D8%A7%D8%B1-%D9%85%DB%8C-%DA%AF%DB%8C%D8%B1%D8%AF"
"455256787,2025-01-20T09:44:46Z,1403/11/01 13:14,فقط باید گفت باعث و بانی این ز,mohamadgorji136,quote,تاثیرش رو تو بازار دیدیم"
"455256784,2025-01-20T09:44:46Z,1403/11/01 13:14,سیروس مهربان,sirousm,twit,#چکاپا \nبنده خدا رگباری الان شروع کرد به نوشتن و بعد پشیمون شد.\nمگه نگفتی من کورم خوب بذار نوشتت بمونه جوابتو بدم.نترس من مثل تو بی ادب نیستم.\nنیاز به درمان داره بنده خدا. \nیه دقیقه مینوسه دو دقیقه بعد پشیمون میشه .\nخوبه رهاورد نوشته ها رو حذف نمیکنه."
"455256756,2025-01-20T09:43:08Z,1403/11/01 13:13,کیان,alikian13601364,quote,یکی از سهام های آشغال مفت ارزش نداره"
"455256753,2025-01-20T09:43:02Z,1403/11/01 13:13,ahmad.r.m,abts32416145abt,twit,#عیار نمیدونم حقوقی عیار چه چیزی در سر داره اینطوری جلو رشد گرفته امیدوارم موقع منفی ها هم اینجوری باشه؟"
