"460466792,2025-11-24T09:26:16Z,1404/09/03 12:56,مهدی عرفانی,pahlavanmehdi,retwit,#لازما     #لپیام \n\nگل بود   \nبه سبزه هم   آراسته شد \n\nسه شنبه  این دو سهم دیدن دارند"
"460466900,2025-11-24T09:38:55Z,1404/09/03 13:08,مهدی عرفانی,pahlavanmehdi,twit,#لپیام \n\nشرکت در حال پیگیری و انجام مراحلی است که بتواند افزایش سرمایه انجام دهد \n\nهمه را به فال نیک می گیریم"
"460466892,2025-11-24T09:37:35Z,1404/09/03 13:07,بالاتراز سیاهی رنگ خداست,hhhhhhr,twit,#شاخص_بورس حقیقت تلخ دیگر \nتولید ایران خودرو به ۲لار سود سازی ۲میلیارد دلار \nولی اگه همین شرکت خودرو سازی تعطیل شود سالانه ۱۶میلیارد دلار صرفه جویی خواهد شد در ارز"
"460466885,2025-11-24T09:37:13Z,1404/09/03 13:07,علی Predator,ali1ok,quote,#لازما\nفقط و فقط با #غناب 6000 تومنی که تا 110 هزارتومن رفت مقایسه کنید\nاگر ناراحت نمیشید باید بگم با دارایی دو برابر غناب\nهمه چیز مهیاست برای تجدید ارزیابی فووووق نجومی #لازما"
"460466876,2025-11-24T09:36:39Z,1404/09/03 13:06,علی Predator,ali1ok,quote,#لازما \nیک گام دیگر برای تجدید ارزیابی فووووق نجومی نزدیکتر شد \nخیر است"
"460466871,2025-11-24T09:36:35Z,1404/09/03 13:06,مهدی عرفانی,pahlavanmehdi,twit,#لپیام"
"460466863,2025-11-24T09:35:27Z,1404/09/03 13:05,علی Predator,ali1ok,quote,#لازما \nفقط و فقط با #غناب 6000 تومنی که تا 110 هزارتومن رفت مقایسه کنید \nاگر ناراحت نمیشید باید بگم با دارایی دو برابر  غناب \nهمه چیز مهیاست برای تجدید ارزیابی  فووووق نجومی #لازما \n\n."
"460466860,2025-11-24T09:34:07Z,1404/09/03 13:04,نیما ایمانی,eiman2002,twit,#تپکو شکایت قاضی پیش داروغه بردن؟؟؟ مگه خود مسئول گروه: ماشين آلات و تجهيزات در فرابورس چشم نداره داره میبینه تازه از ما ریزتر و دقیق تر میبینه چون برنامشون تمام خرید و فروش ها معلومه کی میخره و چ کسیه.ولی وقتی ضرری براشون نداره اهمیتی نمیدن جریان ضرب المثل دیگی که برا من نجوشه میخام سر .....توش باشه."
"460466857,2025-11-24T09:33:55Z,1404/09/03 13:03,بالاتراز سیاهی رنگ خداست,hhhhhhr,twit,#شاخص_بورس طنز تلخ هر ایرانی \nهوای بنگلادش رو تنفس میکنیم\nعقاید طالبان رو تحمل میکنیم \nتورم بولیوی رو تجربه میکنم \nگذرنامه هم رتبه کنگو داریم\nفساد اداری سومالی را مبتلا هستیم\nولی \nهزینه زندگی در لندن و نیویورک را پرداخت میکنیم"
"460466854,2025-11-24T09:33:50Z,1404/09/03 13:03,علی معتمدی,alimotamedi,twit,#حفاری با کم شدن آب دریای خزر ایا این به نفع حفاری نیست ؟   نباید افشا الف بزنه 😂😂😂😂😂"
