"454808658,2025-01-04T09:48:01Z,1403/10/15 13:18,تریدر 1,bahraminanlo,twit,#پتروآگاه خرید شد.البته میانگین زدم."
"454808647,2025-01-04T09:47:45Z,1403/10/15 13:17,بروکر,sososos,twit,#شپنا قطع به یقین بازی بورس اوایل راه هست. یادتون بازی بورس در انتهای رشد ۹۹ چه شکلی بود؟ سهام همیشه صف خرید بودن بدون عرضه. اونجا دارن بالا میبرن که خالی کنن. الان سالم ترین بورس رو داریم. این رشدها یک دهم رشد اصلی هم نیست"
"454808638,2025-01-04T09:47:34Z,1403/10/15 13:17,مجید,majid1990,twit,#زماهان فردا صف به صف میشه"
"454808634,2025-01-04T09:47:27Z,1403/10/15 13:17,Hasan.sh,hasan.sh2900,twit,#ثفارس کی قرار برای مجمع بسته بشه"
"454808626,2025-01-04T09:47:18Z,1403/10/15 13:17,تریدر 1,bahraminanlo,twit,#خساپا قیمت مناسب ورود. خرید شد."
"454808620,2025-01-04T09:47:07Z,1403/10/15 13:17,آینده نگر,naderymehdi,quote,شما دعا کن به هفتصد برسه،۲۲۰۰ پیش کش!"
"454808616,2025-01-04T09:46:57Z,1403/10/15 13:16,محمد,ghf1357,twit,#ثرود به نظردوستان این حجم تاریخی دراین قیمت به طوری که پایانی رو از منفی ۳بیاره روی صفر تابلو نوید روند جدید را نمی دهد؟؟"
"454808602,2025-01-04T09:46:29Z,1403/10/15 13:16,تریدر 1,bahraminanlo,twit,#خزامیا کم کم داره یاد میگیره لیدری کنه ماشاا‌.."
"454808594,2025-01-04T09:46:25Z,1403/10/15 13:16,Khodaverdi,behnam6053,twit,#شاخص_بورس یعنی ارزش ریال را با زدن یک دکمه چهار برابر میکنیم \nدو حالت خارج نیست \nیا گنجی چیزی پیدا کرده یاسر \nیا چیزی زده"
"454808583,2025-01-04T09:46:14Z,1403/10/15 13:16,بیوک آقا,noyan2020,quote,#خبنیان \nدلمون برای این مرد صدی تنگ شده"
