"457492502,2025-05-11T16:22:44Z,1404/02/21 19:52,Soheil110110313,soheil110110313,retwit,#ثفارس \nثفارس .........✨️✨️✨️✨️"
"457513427,2025-05-12T09:23:37Z,1404/02/22 12:53,مدتا,madta,quote,خدار شکر که نیستی وگرنه پولتو به من تقدیم  می کردی !!"
"457513423,2025-05-12T09:23:36Z,1404/02/22 12:53,cradle,partovi82,twit,#بوعلی در کف قیمتی و حمایتی نزدیک 20 میلیارد حقیقی ورود کرد"
"457513414,2025-05-12T09:23:30Z,1404/02/22 12:53,ایمان,trader_saboor,twit,#فلات \nامروز یک پله وارد شدم به نظر میرسه حرکتش زود شروع بشه"
"457513405,2025-05-12T09:23:20Z,1404/02/22 12:53,IRAN 2020,masood1366,quote,چرا فکر میکنید کسی به توییت تو توجه می کنه؟ \n😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😜"
"457513387,2025-05-12T09:22:56Z,1404/02/22 12:52,Maمحمد,adhamnejad,quote,خا جون خا!"
"457513376,2025-05-12T09:22:52Z,1404/02/22 12:52,ارین,gafarinezad,twit,#بجهرم\nای کاش اون روزی که داشتم آروم آروم  این سهمو می خریدم به جاش طلا خریده بودم.... بورس ایران به درد نمیخوره\nمخصوصا بجهرم"
"457513365,2025-05-12T09:22:32Z,1404/02/22 12:52,mohammad,salehimohammad,twit,#تخت_گاز \n\nپرتفوی صندوق که آخر گزارشه \n\nیه لیست داده جمعش رو خودش زده 77 درصد در حالی که اعداد رو جمع بزنی میشه 52 درصد \n\nیه اتوسام میزدید حداقل اینجوری ضایع نبود \n\nسازمان و شرکت بورس هم که راحتن \n\nوداد این 25 درصد اختلافه کجاست ؟\n\nمشغول چه لفت و لیسی هستی ابن لیس"
"457513360,2025-05-12T09:22:22Z,1404/02/22 12:52,صالحی صا,hamed987654321,quote,یه جمله از من داشته باش.... \nاینقدر که اخبار توافق بازار رو پیش میبره مثبت میکنه خود توافق بازار و مثبت نمیکنه.... \n.\nخسته نباشی. \nبورس ریسکه. \nسفر نیست صبرکنی ببینی اردیبهشت بشه پاشی بری. \nامروز برنده کسانی بودن که دیروز نفروختن \n.\nاگه حقوقی ها اذیت نکنن تا چهارشنبه یه کله مثبته"
"457513356,2025-05-12T09:22:19Z,1404/02/22 12:52,M.1,mohmad1995,twit,#شاخص_بورس \nنگرانی و اظهار فضل دلواپسان اینجا بیشتر دلداری به خودشونه،فقط مسدودشون کنید"
